id,category_id,en,pronunciation_si,meaning_si,level
i-wonder-what-today-will-bring,s-everyday-conversations,I wonder what today will bring.,අයි වන්ඩර් වට් ටුඩේ විල් බ්‍රිං.,අද දවසේ මොනවා වෙයිද දන්නෙ නෑ.,intermediate
i-need-to-get-my-thoughts,s-everyday-conversations,I need to get my thoughts together.,අයි නීඩ් ට ගෙට් මයි තෝට්ස් ටුගෙදර්.,මගේ අදහස් ටික හරියට එකතු කරගන්න ඕන.,intermediate
what-am-i-trying-to-say,s-asking-questions,What am I trying to say here?,වට් ඇම් අයි ට්‍රයිං ට සේ හියර්?,මං ඇත්තටම මෙතන කියන්න හදන්නේ මොකක්ද?,intermediate
there-must-be-another-way-to,s-everyday-conversations,There must be another way to look at this.,දෙයා මස්ට් බී අනදර් වේ ට ලුක් ඇට් දිස්.,මේක දිහා බලන්න තව විදිහක් ඇති.,intermediate
something-about-this-doesnt-feel-right,s-feelings-emotions,Something about this doesn't feel right.,සම්තිං අබවුට් දිස් ඩසන්ට් ෆීල් රයිට්.,මේකේ මොකක්හරි හරි නැති ගතියක් තියෙනවා.,intermediate
maybe-im-overthinking-it,s-everyday-conversations,Maybe I'm overthinking it.,මේබි අයිම් ඕවර්තිංකිං ඉට්.,සමහරවිට මං මේක ගැන ඕනවට වඩා හිතනවා ඇති.,beginner
let-me-figure-this-out,s-everyday-conversations,Let me figure this out.,ලෙට් මී ෆිගර් දිස් අවුට්.,මං මේක තේරුම් අරගෙන විසඳගන්න බලන්නම්.,beginner
i-know-theres-a-better-way,s-everyday-conversations,I know there's a better way to put it.,අයි නෝ දෙයාර්ස් අ බෙටර් වේ ට පුට් ඉට්.,මේක කියන්න මීට වඩා හොඳ විදිහක් තියෙනවා කියලා මං දන්නවා.,intermediate
why-does-this-keep-happening,s-asking-questions,Why does this keep happening?,වයි ඩස් දිස් කීප් හැපනිං?,ඇයි මේක ආයෙ ආයෙම වෙන්නේ?,beginner
i-shouldve-seen-that-coming,s-everyday-conversations,I should've seen that coming.,අයි ෂුඩව් සීන් දැට් කමිං.,ඒක වෙයි කියලා මට කලින්ම තේරෙන්න තිබුණා.,beginner
that-makes-more-sense-now,s-everyday-conversations,That makes more sense now.,දැට් මේක්ස් මෝර් සෙන්ස් නව්.,දැන් ඒක මට වඩා හොඳට තේරෙනවා.,beginner
im-starting-to-see-the-bigger,s-everyday-conversations,I'm starting to see the bigger picture.,අයිම් ස්ටාර්ටිං ට සී ද බිගර් පික්චර්.,දැන් මට මුළු කාරණේම ටික ටික තේරෙන්න පටන් අරන්.,intermediate
what-if-im-looking-at-this,s-problems-complaints,What if I'm looking at this the wrong way?,වට් ඉෆ් අයිම් ලුකිං ඇට් දිස් ද රෝං වේ?,මං මේක වැරදි පැත්තකින් බලනවා නම්?,intermediate
i-cant-quite-put-my-finger,s-everyday-conversations,I can't quite put my finger on it.,අයි කෑන්ට් ක්වයිට් පුට් මයි ෆිංගර් ඔන් ඉට්.,මොකක්ද අවුල කියලා හරියටම කියන්න බෑ.,intermediate
itll-come-to-me-eventually,s-everyday-conversations,It'll come to me eventually.,ඉට්ල් කම් ට මී ඉවෙන්චුවලි.,ටිකකින් මට ඒක මතක් වෙයි.,beginner
i-need-a-minute-to-process,s-everyday-conversations,I need a minute to process this.,අයි නීඩ් අ මිනිට් ට ප්‍රොසෙස් දිස්.,මේක තේරුම් අරගෙන හිතලා බලන්න මට පොඩි වෙලාවක් ඕන.,intermediate
im-not-entirely-convinced-yet,s-everyday-conversations,I'm not entirely convinced yet.,අයිම් නොට් එන්ටයර්ලි කන්වින්ස්ට් යෙට්.,මට තාම මේක සම්පූර්ණයෙන්ම විශ්වාස නෑ.,beginner
theres-probably-more-to-it-than,s-everyday-conversations,There's probably more to it than that.,දෙයාර්ස් ප්‍රොබබ්ලි මෝර් ටු ඉට් දෑන් දැට්.,මේකේ අපිට පේනවට වඩා දෙයක් තියෙනවා ඇති.,intermediate
i-might-be-missing-something-obvious,s-everyday-conversations,I might be missing something obvious.,අයි මයිට් බී මිසිං සම්තිං ඔබ්වියස්.,පැහැදිලි දෙයක් මට මඟහැරෙනවා වෙන්න පුළුවන්.,intermediate
let-me-think-this-through-properly,s-everyday-conversations,Let me think this through properly.,ලෙට් මී තිංක් දිස් ත්රූ ප්‍රොපර්ලි.,මං මේක හොඳට මුල ඉඳන් අගට හිතලා බලන්නම්.,intermediate
whats-the-worst-that-could-happen,s-asking-questions,What's the worst that could happen?,වට්ස් ද වර්ස්ට් දැට් කුඩ් හැපන්?,වැඩිම නරක විදිහට මොකද වෙන්න පුළුවන්?,intermediate
i-dont-want-to-jump-to,s-everyday-conversations,I don't want to jump to conclusions.,අයි ඩෝන්ට් වොන්ට් ටු ජම්ප් ටු කන්ක්ලූෂන්ස්.,හරියට දැනගන්න කලින් තීරණයකට එන්න මට ඕනේ නෑ.,intermediate
maybe-i-should-sleep-on-it,s-home,Maybe I should sleep on it.,මේබි අයි ෂුඩ් ස්ලීප් ඔන් ඉට්.,සමහරවිට අද හිතලා හෙට තීරණය කරන එක හොඳයි.,intermediate
this-isnt-as-complicated-as-im,s-everyday-conversations,This isn't as complicated as I'm making it.,දිස් ඉසන්ට් ඇස් කොම්ප්ලිකේටඩ් ඇස් අයිම් මේකිං ඉට්.,මං හිතන තරම් මේක අමාරු දෙයක් නෙවෙයි.,intermediate
